input_row_index,source_url,business_name_hint,duplicate_assessment_status,matched_rows,matched_inventory_ids,mapping_status,business_name,suburb_id,resource_type,service_type_primary,specializations,services,behavior_issues,mapping_blockers,mapping_warnings
1,https://www.joniandco.com.au/,Joni & Co,no_duplicate_concern,,,needs_review,Joni & Co,14,trainer,puppy_training,puppies_0_6m,puppy_training|private_training|group_classes|obedience_training,,,source looks like a veterinary business; confirm training listing scope
2,https://jsvet.com.au/,Good Dog Behaviour,no_duplicate_concern,,,needs_review,Good Dog Behaviour,14,behaviour_consultant,puppy_training,puppies_0_6m|senior_7y_plus|adult_18m_7y,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,,,source looks like a veterinary business; confirm training listing scope|trainer/service signal is weak in source copy
3,https://hoochypoochy.com.au/premium-dog-training/,Command Dog Training (Hoochy Poochy),no_duplicate_concern,,,mapping_ready,Command Dog Training (Hoochy Poochy),12,trainer,puppy_training,puppies_0_6m,puppy_training|group_classes|obedience_training|behaviour_consultations,,,
4,https://www.ppah.com.au/,Port Phillip Animal Hospital,no_duplicate_concern,,,needs_review,Port Phillip Animal Hospital,7,trainer,puppy_training,puppies_0_6m,puppy_training|group_classes|obedience_training,excessive_barking,,source looks like a veterinary business; confirm training listing scope|trainer/service signal is weak in source copy
5,https://www.richmondvetclinic.com.au/services/puppy-preschool/,Richmond Vet Clinic (Puppy Preschool),no_duplicate_concern,,,needs_review,Puppy Preschool - Richmond Vet,15,trainer,puppy_training,puppies_0_6m|adolescent_6_18m|adult_18m_7y,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,socialisation,,source looks like a veterinary business; confirm training listing scope
6,https://www.kensingtonvet.com.au/pet-advice/new-puppy/,Kensington Vet Clinic & Hospital,no_duplicate_concern,,,needs_review,Kensington Vet,4,behaviour_consultant,puppy_training,puppies_0_6m|adult_18m_7y,puppy_training|group_classes|obedience_training|behaviour_consultations,dog_aggression|destructive_behaviour|anxiety_general|mouthing_nipping_biting|socialisation,,source looks like a veterinary business; confirm training listing scope
7,https://dogshome.com/behaviour,The Lost Dogs’ Home,no_duplicate_concern,,,needs_review,The Lost Dogs’ Home,5,behaviour_consultant,puppy_training,puppies_0_6m|senior_7y_plus|rescue_dogs,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,separation_anxiety|excessive_barking|dog_aggression|jumping_up|destructive_behaviour|recall_issues|mouthing_nipping_biting|rescue_dog_support|socialisation,,source looks like a veterinary business; confirm training listing scope
8,https://www.fourlegsk9trainingacademy.com.au/,Four Legs K9 Training Academy,no_duplicate_concern,,,mapping_ready,Four Legs K9 Training Academy,11,trainer,puppy_training,puppies_0_6m|rescue_dogs,puppy_training|group_classes|obedience_training|behaviour_consultations,separation_anxiety|excessive_barking|dog_aggression|leash_reactivity|anxiety_general|resource_guarding|mouthing_nipping_biting|rescue_dog_support,,
9,https://melaniescottk9training.com/,Melanie Scott K9 Training,no_duplicate_concern,,,mapping_ready,Melanie Scott K9 Training,8,trainer,puppy_training,puppies_0_6m|senior_7y_plus|adult_18m_7y,puppy_training|private_training|group_classes|obedience_training|behaviour_consultations,excessive_barking|dog_aggression,,
10,https://dogshq.com.au/,Dogs HQ,no_duplicate_concern,,,mapping_ready,Dogs HQ,12,trainer,puppy_training,puppies_0_6m|adult_18m_7y,puppy_training|group_classes|obedience_training|behaviour_consultations,socialisation,,
